Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations
2016,9,Europe,Model S,20358,20930,110072.39,100,590,1801.68,Estimated (Region),9489
2018,2,Middle East,Model X,7551,7813,110788.67,82,488,552.73,Interpolated (Month),8035
2025,4,Middle East,Model S,6995,7039,97176.11,75,432,453.28,Interpolated (Month),8329
2023,11,Middle East,Model 3,10831,11502,79651.01,120,702,1140.5,Estimated (Region),14313
2021,1,Middle East,Model 3,2137,2277,68388.53,120,669,214.45,Official (Quarter),11269
2023,3,Asia,Model X,6987,7810,76386.5,82,455,476.86,Interpolated (Month),10605
2023,10,North America,Model S,10819,11416,99911.97,75,414,671.86,Interpolated (Month),7636
2018,2,North America,Model Y,11286,12786,115401.29,82,488,826.14,Estimated (Region),10624
2018,5,Europe,Model 3,14415,14504,84869.1,120,701,1515.74,Interpolated (Month),6027
2025,3,North America,Model X,4027,4228,117189.04,82,472,285.11,Official (Quarter),7808
2024,4,Middle East,Model 3,14574,16184,65092.63,75,427,933.46,Official (Quarter),9094
2025,1,Middle East,Cybertruck,4241,4551,63059.47,100,594,377.87,Official (Quarter),5982
2025,6,Europe,Model 3,10014,10848,107745.69,100,575,863.71,Estimated (Region),13997
2021,7,North America,Model 3,13236,13581,103253.15,120,660,1310.36,Estimated (Region),9693
2015,8,Europe,Model Y,6904,7092,113591.54,75,434,449.45,Estimated (Region),7810
2020,9,Asia,Model S,19989,21667,84048.35,60,345,1034.43,Official (Quarter),5116
2021,9,North America,Model S,11461,12063,81652.81,100,556,955.85,Interpolated (Month),3575
2021,9,North America,Model 3,9843,10987,89947.82,75,441,651.11,Estimated (Region),4798
2017,11,Asia,Model X,5590,5772,111185.02,60,337,282.57,Interpolated (Month),6158
2018,5,Middle East,Model Y,12023,12399,54099.57,75,433,780.89,Estimated (Region),10142
2025,2,Asia,Model 3,17456,19595,107746.29,120,674,1764.8,Interpolated (Month),6883
2021,9,Europe,Model 3,6586,7232,79135.19,82,458,452.46,Official (Quarter),11269
2022,12,Asia,Model 3,14684,16136,74135.09,75,446,982.36,Interpolated (Month),6498
2017,12,North America,Model 3,25704,28939,61247.57,120,661,2548.55,Official (Quarter),8388
2024,9,Middle East,Model Y,4620,5094,65088.03,82,468,324.32,Official (Quarter),5258
2018,11,North America,Model 3,10848,11734,61191.58,82,479,779.43,Estimated (Region),5010
2018,10,Europe,Model S,10672,11272,93493.14,120,703,1125.36,Official (Quarter),4327
2016,11,Asia,Cybertruck,14130,14923,61680.21,82,468,991.93,Estimated (Region),4711
2021,11,Asia,Model X,11543,12126,90984.02,75,424,734.13,Estimated (Region),4043
2023,7,North America,Model X,9697,10023,63662.22,82,457,664.73,Interpolated (Month),12325
2020,9,Europe,Model Y,10029,10380,78669.26,60,353,531.04,Official (Quarter),12254
2015,9,Europe,Model X,15086,15130,57287.6,100,589,1332.85,Official (Quarter),5142
2018,1,Asia,Model S,14330,16094,83414.53,100,567,1218.77,Interpolated (Month),7350
2022,5,North America,Model S,10488,10878,71290.87,60,353,555.34,Estimated (Region),6926
2020,6,Asia,Model S,7893,8803,68591.13,120,706,835.87,Interpolated (Month),5470
2015,2,Europe,Model 3,2324,2423,52582.09,120,696,242.63,Interpolated (Month),9032
2024,9,North America,Model X,9727,10872,83984.71,60,340,496.08,Interpolated (Month),3988
2022,1,Asia,Cybertruck,13491,15256,65094.78,60,332,671.85,Interpolated (Month),8794
2019,2,Middle East,Model X,2439,2652,111904.04,100,557,203.78,Official (Quarter),10173
2019,11,Middle East,Model 3,10763,10853,59952.7,75,414,668.38,Interpolated (Month),10510
2019,5,North America,Model S,6061,6255,78780.1,60,351,319.11,Estimated (Region),5609
2022,7,Asia,Model 3,10399,10848,61221.63,82,473,737.81,Interpolated (Month),9387
2021,7,Europe,Model 3,10432,11531,105489.24,82,476,744.84,Official (Quarter),4831
2023,8,Middle East,Cybertruck,12771,14425,76006.37,120,672,1287.32,Estimated (Region),12301
2015,3,North America,Model 3,6717,6811,75740.11,82,461,464.48,Estimated (Region),5927
2021,2,Middle East,Model S,10922,11681,91960.14,82,458,750.34,Official (Quarter),11899
2024,9,Asia,Model Y,4461,4515,50800.29,60,342,228.85,Interpolated (Month),7924
2022,12,North America,Model S,4719,5062,108112.41,82,489,346.14,Official (Quarter),10611
2021,5,Asia,Model Y,9545,9727,62297.06,120,717,1026.56,Official (Quarter),11318
2021,12,Middle East,Model X,13859,15058,73958.59,60,332,690.18,Estimated (Region),14913
2017,7,Europe,Cybertruck,6698,7530,105250.5,82,463,465.18,Interpolated (Month),13965
2019,9,Asia,Model X,15884,17515,64845.69,100,561,1336.64,Official (Quarter),6375
2015,2,Europe,Model Y,9861,11318,66943.87,100,583,862.34,Official (Quarter),12139
2016,11,North America,Model 3,3663,4115,116854.24,60,354,194.51,Estimated (Region),3018
2021,4,Asia,Model S,7580,8514,103847.54,60,347,394.54,Interpolated (Month),7046
2022,6,Middle East,Model Y,7532,8069,53119.9,82,490,553.6,Official (Quarter),11592
2017,1,Asia,Model Y,8033,8698,86411.89,60,334,402.45,Official (Quarter),12304
2020,3,Middle East,Model Y,14639,15788,58172.35,100,556,1220.89,Estimated (Region),9442
2020,6,North America,Model 3,7771,8856,56230.68,100,575,670.25,Interpolated (Month),14022
2023,12,Europe,Cybertruck,11128,12108,72255.75,100,577,963.13,Official (Quarter),11768
2020,6,North America,Cybertruck,4677,5097,55021.47,120,673,472.14,Estimated (Region),14177
2015,12,Middle East,Model 3,12570,12817,52276.83,120,715,1348.13,Estimated (Region),10399
2017,4,Asia,Model 3,10795,12043,95825.55,82,457,740.0,Estimated (Region),13510
2017,3,North America,Model S,9296,9376,117045.29,75,447,623.3,Official (Quarter),12422
2022,9,Middle East,Model S,9215,10246,92322.89,75,438,605.43,Official (Quarter),3220
2020,2,Asia,Model X,6932,7903,103644.59,75,437,454.39,Official (Quarter),12886
2019,9,Middle East,Model Y,13821,15702,56119.18,75,447,926.7,Interpolated (Month),12906
2018,1,North America,Model S,4526,4637,58160.82,60,346,234.9,Estimated (Region),13828
2018,1,Middle East,Model S,11796,12081,95948.67,100,598,1058.1,Estimated (Region),9746
2024,9,Middle East,Model S,11173,11333,76804.15,60,358,599.99,Interpolated (Month),10074
2015,3,Middle East,Model Y,5198,5319,67517.0,82,473,368.8,Interpolated (Month),11575
2017,8,Asia,Model 3,8032,8297,74536.44,75,426,513.24,Official (Quarter),3824
2019,12,North America,Model 3,13871,15499,115623.68,60,350,728.23,Estimated (Region),4870
2022,8,Asia,Cybertruck,13977,14076,76982.93,75,418,876.36,Estimated (Region),11344
2017,6,Asia,Model X,9474,9841,80408.23,120,703,999.03,Estimated (Region),3108
2020,6,North America,Model Y,3949,4020,55978.59,82,488,289.07,Official (Quarter),5323
2020,10,Europe,Model X,8875,9062,93578.46,75,420,559.12,Official (Quarter),9048
2024,8,North America,Model Y,9497,10344,118175.84,75,424,604.01,Estimated (Region),14077
2018,11,Middle East,Cybertruck,10631,11842,73717.64,75,448,714.4,Interpolated (Month),11855
2025,4,North America,Model S,14646,15998,70463.07,82,468,1028.15,Interpolated (Month),11480
2020,3,Europe,Cybertruck,5479,6104,99911.0,60,340,279.43,Estimated (Region),3635
2018,10,North America,Cybertruck,11286,12014,58339.85,120,690,1168.1,Interpolated (Month),7185
2020,4,Middle East,Cybertruck,13035,14421,107662.11,120,711,1390.18,Interpolated (Month),7981
2023,10,Asia,Model X,7375,8187,57285.32,60,353,390.51,Official (Quarter),9387
2025,7,Asia,Cybertruck,2723,2943,63830.92,75,428,174.82,Official (Quarter),9020
2022,3,North America,Model S,8256,9464,67978.21,75,429,531.27,Interpolated (Month),3360
2025,2,Middle East,Cybertruck,6699,7150,69494.44,75,447,449.17,Official (Quarter),13608
2019,10,North America,Model X,12891,14178,107586.02,120,660,1276.21,Estimated (Region),9504
2023,9,Asia,Model X,11694,12628,59652.92,60,347,608.67,Official (Quarter),6777
2017,12,Europe,Model 3,7124,7492,52107.27,82,490,523.61,Interpolated (Month),11014
2019,4,North America,Model X,9977,10879,65908.27,60,346,517.81,Estimated (Region),11339
2018,2,Europe,Model S,16810,18654,107713.01,100,557,1404.48,Official (Quarter),12995
2025,10,Asia,Cybertruck,3031,3438,110309.5,100,558,253.69,Official (Quarter),3311
2021,8,Asia,Model S,8848,9157,81735.94,120,691,917.1,Estimated (Region),12163
2017,2,Asia,Model Y,9235,10569,86332.26,100,583,807.6,Interpolated (Month),6742
2015,5,North America,Model 3,10974,12136,55694.41,120,665,1094.66,Estimated (Region),14839
2025,9,Europe,Model Y,6670,7585,78298.39,75,427,427.21,Official (Quarter),6633
2020,6,Europe,Model Y,5248,5703,117058.55,75,431,339.28,Estimated (Region),3994
2018,10,Asia,Cybertruck,1697,1724,116738.2,60,331,84.26,Estimated (Region),6571
2020,11,North America,Cybertruck,14412,14627,92292.18,60,333,719.88,Estimated (Region),3944
2025,10,Middle East,Cybertruck,10175,11339,61799.84,75,436,665.44,Estimated (Region),4027
2025,8,Asia,Model Y,8949,10002,91731.4,82,487,653.72,Official (Quarter),5063
2015,8,Asia,Model S,19783,19836,111048.67,82,489,1451.08,Estimated (Region),9781
2018,3,Asia,Cybertruck,8510,9702,98236.14,75,443,565.49,Official (Quarter),9674
2016,5,Europe,Cybertruck,13737,14494,78989.08,100,591,1217.79,Estimated (Region),11803
2015,1,Europe,Model 3,7597,8376,80810.67,75,417,475.19,Interpolated (Month),8942
2018,12,North America,Model Y,12145,13533,106826.47,120,680,1238.79,Interpolated (Month),8204
2022,5,Middle East,Model X,13056,14295,118320.97,75,424,830.36,Official (Quarter),8531
2018,1,Asia,Cybertruck,10761,11619,52286.13,82,470,758.65,Estimated (Region),7892
2018,10,Europe,Cybertruck,9910,10710,119449.49,75,444,660.01,Estimated (Region),4168
2016,12,Europe,Model Y,121,139,111622.03,100,581,10.55,Official (Quarter),9832
2015,10,North America,Model 3,13930,14805,76819.7,120,691,1443.84,Estimated (Region),3563
2015,9,North America,Cybertruck,14984,15332,62734.97,60,355,797.9,Interpolated (Month),14353
2016,11,Asia,Model 3,6535,7194,69276.68,82,463,453.86,Interpolated (Month),12467
2017,1,Asia,Model S,10239,10788,95347.22,75,417,640.45,Official (Quarter),13663
2021,6,Middle East,Model X,8154,9222,77649.32,120,680,831.71,Interpolated (Month),5487
2019,10,North America,Model Y,10447,11167,84927.76,100,553,866.58,Interpolated (Month),11213
2020,6,Asia,Model 3,7905,8286,82584.09,100,597,707.89,Official (Quarter),14180
2025,1,Europe,Model S,7178,7255,56599.32,60,347,373.61,Official (Quarter),3619
2019,8,Asia,Model 3,13675,14416,87435.96,120,719,1474.85,Official (Quarter),8694
2025,6,Middle East,Model 3,8280,8700,70543.5,75,420,521.64,Interpolated (Month),6188
2023,7,Asia,Model S,7598,8691,85168.2,60,357,406.87,Estimated (Region),11481
2022,8,Middle East,Model X,9804,10357,97058.41,60,353,519.12,Estimated (Region),9369
2022,12,Asia,Model S,15242,15254,118941.01,120,712,1627.85,Interpolated (Month),13741
2021,11,Europe,Model X,4265,4364,111629.53,75,428,273.81,Official (Quarter),7945
2025,12,Europe,Model X,4553,4640,85847.27,82,462,315.52,Interpolated (Month),4933
2023,7,Middle East,Model X,15532,17175,90413.92,120,713,1661.15,Estimated (Region),11403
2025,3,Europe,Model 3,4322,4811,106262.64,60,346,224.31,Estimated (Region),8862
2025,5,North America,Model S,7732,8655,70175.23,120,671,778.23,Interpolated (Month),14687
2016,5,Europe,Model X,8790,9863,93065.36,100,565,744.95,Interpolated (Month),10486
2016,11,North America,Model X,8067,8378,54166.73,120,696,842.19,Interpolated (Month),11239
2023,4,North America,Model Y,12566,13881,55756.33,60,342,644.64,Interpolated (Month),9711
2021,5,Middle East,Cybertruck,17149,17698,57385.96,120,700,1800.64,Estimated (Region),10928
2018,6,Asia,Model X,10582,11794,86638.1,82,460,730.16,Official (Quarter),10998
2024,11,Europe,Cybertruck,15338,17247,109717.8,120,673,1548.37,Interpolated (Month),3777
2022,5,Middle East,Model Y,11881,13384,103321.99,60,331,589.89,Estimated (Region),14981
2020,11,Asia,Cybertruck,12449,13177,79104.24,82,470,877.65,Estimated (Region),7412
2020,1,North America,Model 3,9057,9716,104453.66,60,341,463.27,Interpolated (Month),8317
2021,2,North America,Model X,20568,22879,117528.33,120,664,2048.57,Interpolated (Month),3641
2015,5,Europe,Model 3,12077,13820,76240.94,75,423,766.29,Interpolated (Month),13423
2020,11,North America,Model Y,9047,9698,76124.52,75,430,583.53,Estimated (Region),9949
2025,9,Middle East,Model X,12995,14883,97050.41,75,418,814.79,Interpolated (Month),4598
2018,3,Middle East,Model X,7292,7429,118540.61,120,700,765.66,Official (Quarter),13162
2025,4,Europe,Model X,8951,10171,86288.53,100,553,742.49,Estimated (Region),4323
2015,3,Asia,Cybertruck,10257,11441,65107.47,100,581,893.9,Interpolated (Month),4024
2023,8,Asia,Model Y,14192,14464,71868.41,120,690,1468.87,Interpolated (Month),10065
2020,5,Europe,Model X,8980,10325,70079.27,100,564,759.71,Interpolated (Month),4916
2022,10,Middle East,Cybertruck,6826,7781,106421.16,120,701,717.75,Estimated (Region),3060
2022,5,North America,Model Y,2178,2274,69609.39,100,557,181.97,Interpolated (Month),6470
2020,3,Europe,Model S,8370,8464,67525.11,120,700,878.85,Estimated (Region),13659
2015,6,Asia,Model Y,6828,7039,75498.89,100,575,588.91,Interpolated (Month),11284
2025,4,Middle East,Model X,11783,12535,95130.18,82,458,809.49,Official (Quarter),9726
2019,2,Europe,Model X,8777,8804,52410.19,75,429,564.8,Interpolated (Month),12799
2017,2,North America,Model 3,9462,10474,96646.98,60,358,508.11,Interpolated (Month),12132
2022,4,Asia,Model X,11546,13120,115939.4,100,553,957.74,Interpolated (Month),7828
2019,3,Europe,Cybertruck,11227,12883,53512.27,100,554,932.96,Interpolated (Month),11645
2019,12,Middle East,Model Y,11307,12778,80248.14,75,448,759.83,Estimated (Region),8426
2020,10,Asia,Cybertruck,10428,11120,116424.14,82,461,721.1,Interpolated (Month),9385
2017,6,Europe,Cybertruck,4694,5104,67717.11,120,687,483.72,Official (Quarter),14490
2018,3,Europe,Model Y,4731,5359,112698.3,60,338,239.86,Estimated (Region),5759
2015,1,Middle East,Model X,7419,8000,79927.87,75,413,459.61,Official (Quarter),4294
2019,5,North America,Model X,7479,7555,72183.29,82,461,517.17,Interpolated (Month),9071
2021,1,Europe,Model X,8424,8688,50824.59,75,449,567.36,Official (Quarter),6372
2024,1,Europe,Model Y,14668,16401,67771.88,82,482,1060.5,Official (Quarter),11255
2016,3,Europe,Model S,8700,9196,77917.59,60,347,452.83,Official (Quarter),9403
2016,10,Europe,Model Y,10758,11593,80129.92,82,463,747.14,Estimated (Region),8215
2020,7,Europe,Model Y,11723,11829,78933.97,60,346,608.42,Estimated (Region),8232
2021,4,Asia,Cybertruck,9368,10703,54428.39,120,696,978.02,Official (Quarter),3685
2017,10,Europe,Cybertruck,12490,13026,106184.82,120,719,1347.05,Estimated (Region),3360
2015,2,Asia,Model 3,18761,18875,91362.51,82,478,1345.16,Estimated (Region),3199
2020,8,North America,Model 3,9209,10291,77636.51,120,698,964.18,Interpolated (Month),4807
2018,1,North America,Model X,11056,12145,112887.05,60,341,565.51,Official (Quarter),6921
2018,12,Asia,Model 3,10896,10897,52748.55,120,718,1173.5,Interpolated (Month),5908
2023,3,Europe,Model X,7063,7817,90597.34,100,554,586.94,Official (Quarter),11327
2015,11,Asia,Cybertruck,4482,4968,84711.3,82,454,305.22,Interpolated (Month),5642
2023,4,Middle East,Model S,16873,17509,98627.02,60,353,893.43,Estimated (Region),5937
2019,11,North America,Cybertruck,15281,16012,113413.82,120,667,1528.86,Interpolated (Month),5142
2016,5,Europe,Model 3,7546,8329,54360.43,60,345,390.51,Estimated (Region),14960
2017,5,North America,Model S,12601,13161,100009.69,82,482,911.05,Official (Quarter),4230
2020,10,North America,Model Y,8952,9919,81113.6,100,562,754.65,Official (Quarter),5284
2019,7,Europe,Model 3,7642,8425,91557.92,75,440,504.37,Interpolated (Month),6713
2023,7,North America,Model Y,16150,16704,86864.96,60,343,830.92,Official (Quarter),9955
2016,6,North America,Model 3,10738,11306,70757.49,75,425,684.55,Official (Quarter),12295
2015,8,Europe,Model X,6084,6741,94880.33,60,350,319.41,Official (Quarter),9512
2023,7,Asia,Model X,6290,7032,73725.54,82,484,456.65,Interpolated (Month),4568
2023,11,North America,Model 3,7159,8085,109798.74,120,661,709.81,Official (Quarter),10314
2019,8,Europe,Model X,8803,9254,118696.83,60,348,459.52,Estimated (Region),7993
2018,7,Europe,Model Y,7992,8483,118475.45,100,559,670.13,Official (Quarter),12589
2019,1,Europe,Model 3,17693,18854,69372.79,60,346,918.27,Interpolated (Month),7164
2019,6,Asia,Model X,14693,16626,67022.6,82,473,1042.47,Estimated (Region),5309
2025,12,Asia,Cybertruck,7317,7883,74218.07,100,583,639.87,Interpolated (Month),14412
2015,8,Middle East,Model S,14376,16107,50324.24,60,340,733.18,Interpolated (Month),7778
2023,12,Europe,Model S,11217,11469,56297.71,75,433,728.54,Official (Quarter),4365
2022,6,Asia,Model S,2823,2893,78502.16,120,673,284.98,Official (Quarter),9417
2019,3,North America,Model X,11553,12761,55825.61,75,444,769.43,Estimated (Region),8766
2023,7,Asia,Cybertruck,8704,9162,108606.8,82,453,591.44,Estimated (Region),14308
2024,3,Middle East,Model 3,16656,17329,57011.85,100,567,1416.59,Interpolated (Month),7835
2015,9,Middle East,Model 3,11231,12298,68052.14,82,456,768.2,Interpolated (Month),13019
2025,8,Europe,Model 3,9675,9787,117180.88,60,356,516.64,Official (Quarter),12056
2025,5,Europe,Model Y,7394,7616,104198.24,75,439,486.89,Interpolated (Month),10619
2020,1,North America,Model Y,4504,4957,68860.76,60,338,228.35,Interpolated (Month),14200
2022,8,North America,Model X,11368,12014,73819.25,60,348,593.41,Estimated (Region),13691
2025,5,North America,Model 3,13243,13961,92096.33,120,696,1382.57,Official (Quarter),9725
2021,6,Asia,Model Y,8133,8592,75423.24,82,453,552.64,Interpolated (Month),11226
2021,11,Europe,Model S,6372,7058,64961.57,120,671,641.34,Estimated (Region),7953
2023,4,Asia,Model Y,5775,6270,109710.95,60,354,306.65,Official (Quarter),4586
2018,8,Middle East,Model S,14327,16335,71236.99,82,483,1037.99,Official (Quarter),12190
2024,11,Asia,Model Y,18216,18726,95843.37,82,466,1273.3,Estimated (Region),14789
2018,11,Middle East,Model Y,4439,4549,114154.24,100,566,376.87,Official (Quarter),7464
2024,11,Middle East,Model S,10466,10713,86143.79,82,483,758.26,Estimated (Region),8191
2016,6,Europe,Model 3,7425,8516,92131.71,75,434,483.37,Official (Quarter),11976
2024,3,Europe,Model Y,14419,16473,106394.58,120,682,1475.06,Official (Quarter),12464
2025,11,Asia,Cybertruck,15194,16944,106209.44,82,487,1109.92,Estimated (Region),14252
2021,8,North America,Model X,11564,13051,84648.8,120,667,1156.98,Interpolated (Month),11354
2016,8,Europe,Model S,7883,8117,89573.12,82,470,555.75,Interpolated (Month),14664
2022,5,North America,Model X,11824,13043,94329.84,75,442,783.93,Estimated (Region),3537
2022,8,Europe,Model 3,8566,9022,105370.29,75,431,553.79,Estimated (Region),4534
2016,1,North America,Model Y,5366,5628,86239.82,60,332,267.23,Interpolated (Month),7207
2025,2,Asia,Model S,7214,7818,54063.24,75,438,473.96,Estimated (Region),3633
2018,11,Middle East,Model 3,8512,9694,61318.62,120,717,915.47,Interpolated (Month),5469
2024,6,Asia,Model X,16936,19459,59209.95,60,331,840.87,Estimated (Region),11332
2016,4,Asia,Model X,10534,11769,99612.13,82,452,714.21,Interpolated (Month),6637
2021,1,Middle East,Cybertruck,13269,13345,93502.51,60,353,702.59,Estimated (Region),9004
2025,9,Middle East,Model 3,10184,11005,104650.26,75,424,647.7,Interpolated (Month),8782
2025,3,Middle East,Model Y,13821,13859,102897.72,82,461,955.72,Official (Quarter),6720
2020,7,Asia,Model X,9091,10357,90581.6,100,583,795.01,Interpolated (Month),13938
2019,1,Europe,Model Y,1688,1921,50840.21,120,693,175.47,Official (Quarter),11887
2021,1,Asia,Cybertruck,19968,20943,118851.81,60,350,1048.32,Interpolated (Month),3526
2017,10,North America,Model S,17816,19626,76118.58,82,489,1306.8,Interpolated (Month),5008
2018,11,Middle East,Model S,12365,12531,113757.84,60,330,612.07,Official (Quarter),8806
2016,7,Asia,Model S,16053,18456,115317.93,100,582,1401.43,Official (Quarter),8054
2017,5,Europe,Model 3,5633,6297,101411.08,120,683,577.1,Estimated (Region),3302
2019,4,North America,Cybertruck,7556,7991,74287.13,120,685,776.38,Interpolated (Month),12381
2018,6,North America,Cybertruck,11743,12765,115515.61,82,478,841.97,Official (Quarter),8775
2019,2,North America,Model X,13847,15194,112947.42,75,435,903.52,Official (Quarter),4575
2025,12,Europe,Cybertruck,9164,9356,90839.08,120,719,988.34,Official (Quarter),4155
2022,2,Asia,Model S,6882,7233,83359.76,120,677,698.87,Interpolated (Month),9179
2024,6,Asia,Cybertruck,13475,15431,109301.02,100,565,1142.01,Interpolated (Month),5354
2023,6,North America,Cybertruck,6650,7220,112601.2,75,430,428.92,Estimated (Region),14341
2018,5,Asia,Model Y,10308,10558,96067.16,60,359,555.09,Official (Quarter),8420
2020,12,Asia,Model S,12576,13358,72885.95,60,348,656.47,Estimated (Region),14165
2018,3,Middle East,Model Y,14733,16046,92220.51,75,438,967.96,Interpolated (Month),9904
2020,7,North America,Model S,13904,14572,56546.41,100,571,1190.88,Estimated (Region),4545
2022,1,Asia,Model 3,8808,8820,59803.14,75,424,560.19,Estimated (Region),9943
2025,7,Europe,Cybertruck,10000,11022,73732.0,75,433,649.5,Estimated (Region),8368
2019,5,Asia,Model X,11616,11801,104311.41,120,708,1233.62,Official (Quarter),12213
2023,6,North America,Model X,10493,11366,101972.03,100,560,881.41,Official (Quarter),7419
2019,3,Asia,Model Y,11054,12525,112575.35,100,566,938.48,Official (Quarter),10380
2020,11,North America,Model 3,10557,10823,103232.52,100,599,948.55,Interpolated (Month),14349
2022,12,Europe,Model S,8057,8633,110599.07,120,661,798.85,Interpolated (Month),10726
2024,2,Middle East,Model S,12160,12876,109600.71,75,446,813.5,Official (Quarter),9076
2023,2,Middle East,Model 3,5370,6158,56204.31,60,357,287.56,Official (Quarter),8762
2015,7,Europe,Model 3,10194,10821,118766.5,60,333,509.19,Interpolated (Month),7774
2018,9,Europe,Model X,4968,5607,59218.08,82,479,356.95,Interpolated (Month),11903
2024,1,North America,Model X,7363,7632,101030.94,82,468,516.88,Official (Quarter),14776
2020,8,Europe,Model X,6007,6335,80270.6,100,581,523.51,Official (Quarter),3893
2019,3,Europe,Model X,9014,9238,73291.06,100,596,805.85,Estimated (Region),7116
2016,6,Middle East,Model S,12345,13438,85585.24,60,338,625.89,Official (Quarter),9780
2019,3,North America,Model Y,9620,9719,88480.21,100,570,822.51,Estimated (Region),13532
2021,3,North America,Model Y,13823,15781,84245.14,75,425,881.22,Official (Quarter),14090
2017,11,North America,Model X,11928,12489,87661.59,120,710,1270.33,Official (Quarter),14873
2018,6,Europe,Model X,8387,9141,113168.23,60,341,429.0,Estimated (Region),5595
2021,11,Middle East,Model Y,17733,20082,84700.19,120,678,1803.45,Official (Quarter),12043
2019,2,North America,Cybertruck,5243,5387,102951.58,82,470,369.63,Interpolated (Month),5709
2020,2,Asia,Model Y,10272,11269,117826.11,82,480,739.58,Estimated (Region),14095
2024,5,Europe,Model 3,8204,8500,86088.29,100,578,711.29,Official (Quarter),5659
2015,8,North America,Model S,10073,10423,112970.22,120,683,1031.98,Interpolated (Month),9522
2015,11,Middle East,Model X,7876,8191,111504.1,82,483,570.62,Official (Quarter),10901
2024,1,Asia,Model S,9189,10346,91317.74,75,419,577.53,Estimated (Region),9973
2022,9,Europe,Model 3,14414,16505,80705.88,82,467,1009.7,Interpolated (Month),13158
2024,10,Europe,Model 3,4158,4663,104154.57,75,417,260.08,Official (Quarter),8565
2024,9,Europe,Cybertruck,11125,11190,75427.23,120,696,1161.45,Interpolated (Month),4431
2024,4,Middle East,Model Y,7310,7929,67408.43,120,685,751.1,Official (Quarter),10608
2015,2,North America,Model X,7191,7436,79897.55,75,443,477.84,Estimated (Region),13328
2017,12,Asia,Model 3,15890,16945,68273.4,60,340,810.39,Interpolated (Month),13014
2019,10,Middle East,Model X,6086,6530,73383.19,60,333,304.0,Estimated (Region),5866
2025,2,North America,Model Y,8758,9309,92929.83,75,441,579.34,Estimated (Region),9548
2018,8,Asia,Model 3,4082,4522,70105.48,82,487,298.19,Official (Quarter),3590
2021,10,Europe,Model 3,6769,7697,56372.54,60,349,354.36,Interpolated (Month),7958
2015,1,Asia,Model S,9537,10093,68994.43,82,484,692.39,Official (Quarter),7281
2023,2,North America,Model X,7483,8068,62046.99,75,423,474.8,Interpolated (Month),6857
2025,5,Asia,Model X,8555,8640,88627.98,82,455,583.88,Estimated (Region),3268
2022,11,Europe,Model Y,12567,12749,92448.68,100,572,1078.25,Interpolated (Month),14261
2020,6,Middle East,Model S,2904,3018,53664.3,120,673,293.16,Interpolated (Month),12622
2018,2,Asia,Cybertruck,8796,9795,112857.53,82,454,599.01,Official (Quarter),7717
2017,8,Europe,Model 3,14385,15358,62840.95,82,486,1048.67,Interpolated (Month),13590
2023,1,Europe,Model 3,10952,11106,102799.76,120,661,1085.89,Official (Quarter),5992
2022,2,North America,Model Y,7779,8531,109603.91,82,475,554.25,Official (Quarter),13238
2015,7,Europe,Cybertruck,6089,6791,63093.06,120,679,620.16,Official (Quarter),8105
2018,7,North America,Model Y,15545,16327,62395.76,100,554,1291.79,Estimated (Region),14480
2016,5,North America,Model Y,12118,12916,57396.53,100,582,1057.9,Estimated (Region),5592
2023,7,North America,Model S,6998,7183,94380.05,60,340,356.9,Official (Quarter),13228
2021,9,Asia,Model X,4985,5637,99343.78,75,415,310.32,Estimated (Region),10801
2020,5,North America,Cybertruck,14336,15361,119619.5,100,583,1253.68,Official (Quarter),3888
2025,11,Asia,Model X,9950,10033,118440.65,100,589,879.08,Interpolated (Month),8881
2015,1,Asia,Cybertruck,11325,11887,54449.08,60,339,575.88,Estimated (Region),6902
2018,12,Europe,Model X,6229,6403,102455.86,60,346,323.29,Estimated (Region),5448
2015,11,Middle East,Model S,7076,7801,55329.16,82,485,514.78,Interpolated (Month),8941
2022,7,Asia,Cybertruck,10705,10825,82247.95,100,594,953.82,Estimated (Region),4133
2023,10,Europe,Model 3,8195,8564,87177.66,75,427,524.89,Official (Quarter),6286
2019,12,North America,Model X,12529,12922,55076.56,82,479,900.21,Estimated (Region),7830
2024,8,Middle East,Model Y,14108,14384,103388.03,82,453,958.64,Interpolated (Month),3151
2022,4,North America,Model 3,12255,13007,88092.61,120,692,1272.07,Estimated (Region),8965
2018,8,North America,Cybertruck,8810,9800,113912.9,75,433,572.21,Estimated (Region),5169
2017,2,Middle East,Model 3,10407,10950,76021.75,82,451,704.03,Official (Quarter),6597
2021,6,Europe,Model S,7341,7660,94023.36,100,555,611.14,Interpolated (Month),10859
2017,6,Middle East,Model X,7136,8154,108694.43,82,484,518.07,Interpolated (Month),12875
2015,10,Middle East,Model S,14212,16049,109118.46,100,565,1204.47,Official (Quarter),12946
2020,4,Middle East,Model X,15453,16331,71193.73,82,469,1087.12,Estimated (Region),12815
2016,3,Europe,Model Y,10416,10510,115410.52,82,465,726.52,Interpolated (Month),4217
2018,12,Asia,Model S,17422,18081,81270.85,120,667,1743.07,Official (Quarter),5471
2025,5,Europe,Model 3,7889,8089,57441.41,60,357,422.46,Interpolated (Month),14971
2023,6,Asia,Cybertruck,10630,12173,83452.35,120,703,1120.93,Official (Quarter),7448
